Output,Model,R2,MAE,RMSE
Distillate Purity,Polynomial Regression,0.9999625429724746,3.164278289927158e-05,4.0446156626079706e-05
Distillate Purity,Random Forest,0.9666262096128052,0.0007157049129308812,0.0012072949143685531
Distillate Purity,SVR,0.8843403282115543,0.001704895765609321,0.0022475097375184235
Bottoms Purity,Polynomial Regression,0.9999684480426383,2.4897979655663648e-05,3.266723523085703e-05
Bottoms Purity,Random Forest,0.9983537022491666,0.0001955268371554131,0.0002359681670577403
Bottoms Purity,SVR,0.9673748535261317,0.0008201426853230553,0.0010504501845621773
Condenser Heat Duty,Polynomial Regression,0.9999999997154168,0.0029595314591915668,0.003770308147421256
Condenser Heat Duty,Random Forest,0.9991167712894299,4.925820355988321,6.64215154580005
Condenser Heat Duty,SVR,0.9290884547830727,40.23602819812722,59.51557936938076
Reboiler Heat Duty,Polynomial Regression,0.9999999997277657,0.002775629511097577,0.003669083763293793
Reboiler Heat Duty,Random Forest,0.9983680605946811,6.848227121689672,8.983347662388198
Reboiler Heat Duty,SVR,0.9255258094169786,40.93464851645257,60.68608050221119
